,name,catagory,symbol,linkQuate,BS_standalone_link,EQUITY SHARE CAPITAL,TOTAL SHARE CAPITAL,RESERVES AND SURPLUS,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,LONG TERM BORROWINGS,DEFERRED TAX LIABILITIES [NET],OTHER LONG TERM LIABILITIES,LONG TERM PROVISIONS,TOTAL NON-CURRENT LIABILITIES,SHORT TERM BORROWINGS,TRADE PAYABLES,OTHER CURRENT LIABILITIES,SHORT TERM PROVISIONS,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,TANGIBLE ASSETS,INTANGIBLE ASSETS,CAPITAL WORK-IN-PROGRESS,OTHER ASSETS,FIXED ASSETS,NON-CURRENT INVESTMENTS,DEFERRED TAX ASSETS [NET],LONG TERM LOANS AND ADVANCES,OTHER NON-CURRENT ASSETS,TOTAL NON-CURRENT ASSETS,CURRENT INVESTMENTS,INVENTORIES,TRADE RECEIVABLES,CASH AND CASH EQUIVALENTS,SHORT TERM LOANS AND ADVANCES,OTHERCURRENTASSETS,TOTAL CURRENT ASSETS,TOTAL ASSETS,CONTINGENT LIABILITIES,RAW MATERIALS,"STORES, SPARES AND LOOSE TOOLS",TRADE/OTHER GOODS,CAPITAL GOODS,EXPENDITURE IN FOREIGN CURRENCY,DIVIDEND REMITTANCE IN FOREIGN CURRENCY,FOB VALUE OF GOODS,OTHER EARNINGS,BONUS EQUITY SHARE CAPITAL,NON-CURRENT INVESTMENTS QUOTED MARKET VALUE,NON-CURRENT INVESTMENTS UNQUOTED BOOK VALUE,CURRENT INVESTMENTS QUOTED MARKET VALUE,CURRENT INVESTMENTS UNQUOTED BOOK VALUE
4,Ganesh Housing,constructioncontractinghousing,GANESHHOUSING,GHC02,http://www.moneycontrol.com/financials/ganeshhousingcorporation/balance-sheetVI/GHC02#GHC02,49.23,49.23,651.86,651.86,701.09,148.51,0.0,11.65,0.0,160.17,46.81,18.43,151.43,0.0,216.67,1077.93,205.81,0.1,2.29,0.0,208.2,205.43,18.83,0.0,20.97,453.44,0.0,6.82,82.9,12.19,505.21,17.36,624.48,1077.93,227.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.34,0.0,205.43,0.0,0.0
5,Peninsula Land,constructioncontractinghousing,PENINSULALAND,PL10,http://www.moneycontrol.com/financials/peninsulaland/balance-sheetVI/PL10#PL10,55.9,55.9,51.26,51.26,107.16,0.0,0.0,0.0,6.21,6.21,385.23,114.0,1925.6,2.17,2427.0,2540.37,12.8,1.7,0.0,0.0,14.5,349.02,2.04,354.05,281.07,1000.68,0.0,1116.43,14.18,22.42,0.6,386.06,1539.69,2540.37,185.86,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,9.66,0.0,22.2,0.0,0.0
6,Prajay Engineer,constructioncontractinghousing,PRAJAYENGINEER,PES,http://www.moneycontrol.com/financials/prajayengineerssyndicate/balance-sheetVI/PES#PES,69.94,69.94,501.49,501.49,571.43,20.4,13.36,0.0,0.94,34.71,45.1,172.11,281.29,0.0,498.49,1104.63,380.53,0.0,0.0,0.0,380.53,133.2,0.0,0.7,51.88,566.31,0.0,339.61,172.67,3.01,6.27,16.77,538.32,1104.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Ajmera Realty,constructioncontractingrealestate,AJMERAREALTY,ARI03,http://www.moneycontrol.com/financials/ajmerarealtyandinfraindia/balance-sheetVI/ARI03#ARI03,35.48,35.48,545.84,545.84,581.33,728.32,0.0,87.36,4.71,820.38,0.0,32.93,120.33,14.72,167.97,1569.68,8.26,0.1,0.0,0.0,8.36,134.18,0.0,568.49,32.43,743.46,0.0,602.42,167.61,15.1,0.15,40.94,826.22,1569.68,8.49,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,134.18,0.0,0.0
1,Arihant Super,constructioncontractingrealestate,ARIHANTSUPER,SMC07,http://www.moneycontrol.com/financials/arihantsuperstructures/balance-sheetVI/SMC07#SMC07,41.16,41.16,71.36,71.36,112.52,74.03,0.0,0.0,0.0,74.03,21.67,26.23,49.99,0.33,98.22,284.77,2.72,0.04,0.0,2.46,5.22,0.05,0.04,23.98,1.21,30.5,0.17,166.7,16.85,4.32,0.06,66.16,254.27,284.77,47.29,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17
2,Brigade Ent,constructioncontractingrealestate,BRIGADEENT,BE08,http://www.moneycontrol.com/financials/brigadeenterprises/balance-sheetVI/BE08#BE08,204.38,204.38,2339.15,2339.15,2543.53,1510.54,52.4,55.36,0.0,1618.3,13.6,299.94,3184.02,6.49,3504.05,7665.88,25.8,0.99,74.65,1378.2,1479.64,1776.6,0.0,453.9,197.26,3907.4,16.2,2975.69,282.88,137.43,3.48,342.8,3758.48,7665.88,2208.56,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.22,67.29,0.0,0.0,0.0,0.0
3,DB Realty,constructioncontractingrealestate,DBREALTY,DR,http://www.moneycontrol.com/financials/dbrealty/balance-sheetVI/DR#DR,243.26,243.26,2159.07,2159.07,2402.33,0.0,0.0,0.06,0.85,0.9,363.63,22.16,797.7,0.53,1184.02,3587.25,2.02,0.12,0.0,1.42,3.56,1812.79,192.81,55.16,88.52,2152.84,371.14,290.06,0.05,0.59,498.03,274.55,1434.41,3587.25,69.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.15,0.0,1033.23,0.0,371.14
4,Delta Corp,constructioncontractingrealestate,DELTACORP,DC11,http://www.moneycontrol.com/financials/deltacorp/balance-sheetVI/DC11#DC11,27.09,27.09,1889.92,1889.92,1917.01,0.0,12.68,2.38,0.82,15.88,0.0,13.18,20.19,8.32,41.69,1974.58,334.63,0.66,4.85,0.0,340.14,957.1,0.0,0.0,41.83,1339.07,392.27,13.12,0.85,54.76,155.6,18.91,635.51,1974.58,32.81,0.0,0.0,0.0,0.0,10.05,0.0,0.0,13.69,0.0,10.41,947.25,0.0,0.0
5,DLF,constructioncontractingrealestate,DLF,D04,http://www.moneycontrol.com/financials/dlf/balance-sheetVI/D04#D04,495.06,495.06,26308.89,26308.89,26803.95,2294.02,0.0,1084.44,39.54,3418.0,2239.21,716.67,8967.14,17.71,11940.73,42163.35,371.89,150.94,0.0,1140.21,1663.03,14657.23,2473.88,540.18,1541.6,20875.91,100.41,10687.81,146.08,1714.68,7583.4,1055.06,21287.44,42163.35,10020.85,0.0,0.0,0.0,0.0,524.94,0.0,11.93,0.0,267.72,0.0,101.33,100.41,0.0
6,Emami Realty ,constructioncontractingrealestate,EMAMIREALTY,EI23,http://www.moneycontrol.com/financials/emamirealty/balance-sheetVI/EI23#EI23,5.59,5.59,43.53,45.19,50.78,792.71,0.0,37.1,1.19,831.01,1388.66,19.85,631.1,34.47,2074.08,2955.86,1.07,0.49,0.0,37.66,39.21,261.28,60.78,351.01,8.95,721.22,4.0,743.5,57.43,16.94,1299.29,113.48,2234.64,2955.86,1060.07,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,261.28,0.0,4.0
7,Godrej Prop,constructioncontractingrealestate,GODREJPROP,GP11,http://www.moneycontrol.com/financials/godrejproperties/balance-sheetVI/GP11#GP11,126.01,126.01,4902.81,4902.81,5034.78,0.0,0.0,1.15,12.62,13.77,3204.04,430.89,1118.34,11.79,4765.06,9813.61,86.09,21.42,11.54,9.79,130.89,1564.99,204.97,26.33,142.7,2069.88,1997.65,1247.42,139.12,427.28,3012.28,919.98,7743.73,9813.61,199.24,0.0,0.0,0.0,0.0,16.87,0.0,0.0,0.0,54.24,0.0,696.52,0.0,1997.65
8,HUDCO,constructioncontractingrealestate,HUDCO,HUD,http://www.moneycontrol.com/financials/housingurbandevelopmentcorporation/balance-sheetVI/HUD#HUD,2001.9,2001.9,10341.59,10341.59,12343.49,61436.61,413.55,55.68,220.65,62126.49,0.0,17.59,1639.42,0.0,1657.01,76126.99,45.27,0.28,51.56,19.28,116.39,0.0,0.0,0.0,375.39,491.78,233.51,0.0,11.46,422.81,74267.92,699.51,75635.21,76126.99,373.97,0.0,0.0,0.0,0.0,7.08,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0
9,HDIL,constructioncontractingrealestate,HDIL,HDI,http://www.moneycontrol.com/financials/housingdevelopmentandinfrastructure/balance-sheetVI/HDI#HDI,454.0,454.0,11199.52,11199.52,11715.72,3.09,29.32,2.4,4.05,38.86,1500.96,451.6,2373.41,3.71,4329.68,16084.26,107.13,0.03,0.0,104.89,212.05,788.85,0.0,0.0,8.46,1009.36,1.02,12033.08,378.82,125.32,0.0,2536.67,15074.9,16084.26,2415.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.22,0.0,788.85,0.0,0.0
10,Hubtown,constructioncontractingrealestate,HUBTOWN,AC24,http://www.moneycontrol.com/financials/hubtown/balance-sheetVI/AC24#AC24,72.74,72.74,1602.7,1602.7,1675.43,30.51,0.0,30.36,1.99,62.85,231.18,132.33,1868.68,4.07,2236.27,3974.56,17.0,0.0,0.0,37.56,54.56,1676.29,23.0,5.61,36.11,1795.58,2.87,1338.29,89.31,10.98,63.23,674.3,2178.98,3974.56,2548.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,702.17,0.0,0.0
11,Indiabulls Real,constructioncontractingrealestate,INDIABULLSREAL,IRE01,http://www.moneycontrol.com/financials/indiabullsrealestate/balance-sheetVI/IRE01#IRE01,90.93,90.93,6352.06,6352.06,6449.37,462.02,0.0,8.6,0.24,470.85,119.73,0.0,1812.0,0.03,1931.76,8851.98,20.13,0.0,0.0,0.0,20.13,3838.05,3.09,11.29,163.73,4036.29,0.01,0.9,0.0,256.29,4455.31,103.19,4815.69,8851.98,709.8,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,29.57,3808.48,0.01,0.0
12,Kolte-Patil,constructioncontractingrealestate,KOLTEPATIL,KD07,http://www.moneycontrol.com/financials/kolte-patildevelopers/balance-sheetVI/KD07#KD07,75.81,75.81,787.26,787.26,863.07,208.19,0.0,20.38,3.24,231.81,0.0,164.07,1153.31,7.09,1324.47,2419.35,29.9,2.5,0.0,0.0,32.4,415.12,74.28,10.69,325.79,858.28,0.61,1451.24,41.76,27.13,11.44,28.89,1561.07,2419.35,250.58,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,21.9,0.0,415.12,0.03,0.58
13,Landmark Prop,constructioncontractingrealestate,LANDMARKPROP,LPD,http://www.moneycontrol.com/financials/landmarkpropertydevelopmentcompany/balance-sheetVI/LPD#LPD,13.41,13.41,48.22,48.22,61.63,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1.14,0.0,1.15,62.78,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,41.86,41.87,1.14,13.66,0.0,2.07,3.68,0.35,20.91,62.78,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14
14,Marathon Realty,constructioncontractingrealestate,MARATHONREALTY,MNR,http://www.moneycontrol.com/financials/marathonnextgenrealty/balance-sheetVI/MNR#MNR,23.0,23.0,608.1,608.1,631.1,298.75,0.0,8.01,1.35,308.11,0.0,105.05,48.42,0.24,153.72,1092.92,3.4,0.0,0.0,157.16,160.55,222.94,1.74,369.75,8.17,763.16,0.0,247.64,2.78,0.69,46.63,32.02,329.76,1092.92,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,3.6,200.99,0.0,0.0
15,Oberoi Realty,constructioncontractingrealestate,OBEROIREALTY,OR,http://www.moneycontrol.com/financials/oberoirealty/balance-sheetVI/OR#OR,363.6,363.6,5912.9,5912.9,6276.5,0.0,22.97,83.3,1.6,107.87,962.64,27.6,219.3,1.72,1211.25,7595.62,196.18,1.85,63.51,551.2,813.26,713.29,0.0,0.0,547.2,2073.75,26.89,2168.91,17.72,44.04,3155.92,108.4,5521.87,7595.62,356.94,0.07,0.0,0.0,1.74,24.64,0.0,0.0,52.97,286.07,0.0,713.29,26.89,0.0
16,Omaxe,constructioncontractingrealestate,OMAXE,O02,http://www.moneycontrol.com/financials/omaxe/balance-sheetVI/O02#O02,182.9,245.43,1083.19,1083.19,1328.62,476.5,0.0,41.86,12.52,530.88,201.24,425.47,3420.7,0.76,4048.17,6132.89,490.76,162.49,0.0,0.0,653.25,294.04,131.06,9.46,151.32,1239.13,0.0,2383.0,220.06,175.63,1124.49,990.58,4893.76,6132.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Parsvnath,constructioncontractingrealestate,PARSVNATH,PD05,http://www.moneycontrol.com/financials/parsvnathdevelopers/balance-sheetVI/PD05#PD05,217.59,217.59,1255.68,1255.68,1473.27,495.05,0.0,180.04,4.93,680.02,392.03,760.68,3009.37,0.15,4162.22,6315.51,115.99,18.64,0.0,15.19,603.82,814.85,167.88,126.1,287.29,1999.95,0.0,3218.47,260.53,59.05,72.53,704.98,4315.56,6315.51,3641.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,814.85,0.0,0.0
18,Phoenix Mills,constructioncontractingrealestate,PHOENIXMILLS,PM02,http://www.moneycontrol.com/financials/phoenixmills/balance-sheetVI/PM02#PM02,30.69,30.69,2817.43,2817.43,2848.12,587.88,0.0,89.18,1.19,678.25,184.56,13.96,223.91,0.13,422.56,3948.93,675.69,0.08,114.62,0.0,790.39,2710.24,8.54,150.3,53.53,3713.0,0.0,0.0,19.97,3.98,30.03,181.95,235.93,3948.93,65.77,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.08,10.92,0.0,0.0,0.0,0.0
19,PNC Infratech,constructioncontractingrealestate,PNCINFRATECH,PI26,http://www.moneycontrol.com/financials/pncinfratech/balance-sheetVI/PI26#PI26,51.31,51.31,2495.29,2495.29,2546.6,223.84,0.0,646.32,6.92,877.09,0.0,467.5,515.17,3.89,986.57,4410.25,586.5,1.55,0.0,0.0,588.05,673.16,121.46,236.35,299.02,1918.04,62.34,267.29,803.52,740.05,362.49,256.53,2492.22,4410.25,3124.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,0.0,673.16,0.0,0.0
20,Prestige Estate,constructioncontractingrealestate,PRESTIGEESTATE,PEP02,http://www.moneycontrol.com/financials/prestigeestatesprojects/balance-sheetVI/PEP02#PEP02,400.9,400.9,4866.4,4866.4,5267.3,933.2,0.0,664.5,16.3,1614.0,3410.2,758.1,8310.4,228.6,12707.3,19588.6,533.5,5.1,772.7,1656.5,2967.8,3252.3,205.7,1988.6,541.2,8955.6,0.5,7714.7,963.3,485.5,955.5,513.5,10633.0,19588.6,7828.3,0.0,0.65,0.65,8.47,19.42,0.0,0.0,49.42,250.0,0.0,3252.3,0.0,0.5
21,Prozone Intu,constructioncontractingrealestate,PROZONEINTU,PCS03,http://www.moneycontrol.com/financials/prozoneintuproperties/balance-sheetVI/PCS03#PCS03,30.52,30.52,803.53,803.53,834.05,13.45,115.72,13.05,0.48,142.7,0.0,0.82,5.03,0.42,6.27,983.01,0.97,0.16,0.0,0.78,1.91,878.01,0.0,0.0,12.64,892.56,0.27,0.0,1.58,0.3,70.14,18.16,90.45,983.01,383.28,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,878.01,0.0,0.27
22,Puravankara,constructioncontractingrealestate,PURAVANKARA,PP01,http://www.moneycontrol.com/financials/puravankara/balance-sheetVI/PP01#PP01,118.58,118.58,1531.88,1531.88,1650.46,45.07,0.0,31.61,6.21,82.89,721.82,355.7,2914.1,0.57,3992.19,5725.54,39.92,2.9,0.0,33.73,76.55,63.22,188.94,619.71,178.83,1127.25,0.0,4060.01,152.94,71.81,76.1,237.43,4598.29,5725.54,823.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,63.22,0.0,0.0
23,Shradha Infra,constructioncontractingrealestate,SHRADHAINFRA,SI65,http://www.moneycontrol.com/financials/shradhainfraprojects/balance-sheetVI/SI65#SI65,9.64,9.64,45.48,45.48,55.13,0.0,0.0,0.28,0.0,0.28,0.0,0.01,0.14,0.43,0.58,55.99,14.09,0.0,0.0,0.0,14.09,19.61,0.07,0.0,0.01,33.77,0.0,0.95,0.23,0.39,19.29,1.36,22.22,55.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Sobha,constructioncontractingrealestate,SOBHA,SD6,http://www.moneycontrol.com/financials/sobha/balance-sheetVI/SD6#SD6,94.85,94.85,2192.43,2192.43,2287.28,157.54,26.4,6.06,14.47,204.47,2834.51,959.65,4242.11,15.14,8051.4,10543.15,296.99,0.04,0.0,232.31,529.35,367.41,0.0,0.0,567.35,1464.1,0.0,6423.51,352.19,80.45,0.0,2222.9,9079.05,10543.15,1328.18,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,41.52,0.0,367.41,0.0,0.0
25,Sumit Woods,constructioncontractingrealestate,SUMITWOODS,SW01,http://www.moneycontrol.com/financials/sumitwoods/balance-sheetVI/SW01#SW01,30.59,30.59,42.14,42.14,72.73,20.63,0.11,0.0,0.23,20.96,0.47,4.94,11.9,0.06,17.38,111.07,6.71,0.0,0.0,0.0,6.71,32.16,0.0,0.0,1.71,40.58,0.0,53.74,12.34,0.35,0.0,4.07,70.49,111.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Sunteck Realty,constructioncontractingrealestate,SUNTECKREALTY,SR05,http://www.moneycontrol.com/financials/sunteckrealty/balance-sheetVI/SR05#SR05,14.64,14.64,1925.04,1925.04,1939.67,63.09,0.0,2.52,1.78,67.39,371.62,92.77,225.91,0.23,690.53,2697.37,23.13,0.01,0.0,21.06,44.21,801.41,11.45,0.0,27.43,884.5,982.11,307.26,62.19,55.12,205.98,200.21,1812.87,2697.37,3.48,0.0,0.0,0.0,0.0,2.43,0.0,0.0,2.44,0.0,0.0,801.41,0.0,982.11
27,TCI Developers,constructioncontractingrealestate,TCIDEVELOPERS,TCI07,http://www.moneycontrol.com/financials/tcidevelopers/balance-sheetVI/TCI07#TCI07,3.73,7.96,69.06,69.06,77.02,0.12,0.0,0.0,0.22,0.34,0.0,0.0,1.64,0.12,1.76,79.12,0.49,0.0,5.7,16.75,22.95,36.18,1.44,9.46,5.16,75.19,0.0,2.79,0.19,0.04,0.0,0.9,3.93,79.12,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Vipul,constructioncontractingrealestate,VIPUL,V04,http://www.moneycontrol.com/financials/vipul/balance-sheetVI/V04#V04,12.0,12.0,364.35,364.35,376.35,314.54,0.0,73.11,0.0,387.64,127.71,63.96,690.07,0.0,881.74,1645.74,4.03,0.1,0.0,0.0,4.13,23.68,20.5,32.62,151.25,232.18,0.0,641.11,382.74,16.59,27.06,346.06,1413.56,1645.74,194.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,23.68,0.0,0.0
0,BPL,consumergoodselectronic,BPL,BPL,http://www.moneycontrol.com/financials/bpl/balance-sheetVI/BPL#BPL,48.89,48.89,120.89,120.89,169.78,2.66,0.0,0.0,2.38,5.04,9.28,14.07,177.81,0.62,201.79,376.61,22.0,0.03,0.0,2.21,24.24,55.87,49.29,0.0,110.25,239.66,0.0,7.7,9.85,1.15,0.0,118.26,136.95,376.61,78.21,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65,0.0,55.87,0.0,0.0
1,D P Wires,consumergoodselectronic,DPWIRES,W01,http://www.moneycontrol.com/financials/dpwires/balance-sheetVI/W01#W01,13.57,13.57,85.05,85.05,98.61,2.63,0.13,0.0,0.45,3.21,0.61,10.0,11.16,1.59,23.36,125.19,22.98,0.0,0.0,0.0,22.98,0.0,0.0,3.67,0.0,26.64,0.0,24.68,46.37,12.86,4.03,10.6,98.55,125.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Geekay Wires,consumergoodselectronic,GEEKAYWIRES,GW01,http://www.moneycontrol.com/financials/geekaywires/balance-sheetVI/GW01#GW01,10.45,10.45,30.34,30.34,40.79,14.36,3.02,0.0,0.0,17.37,40.7,4.7,3.72,1.17,50.29,108.45,39.46,0.0,0.0,0.0,39.46,0.0,0.0,2.69,0.0,42.15,0.0,14.82,40.49,5.85,4.98,0.16,66.3,108.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jindal Photo,consumergoodselectronic,JINDALPHOTO,JP11,http://www.moneycontrol.com/financials/jindalphoto/balance-sheetVI/JP11#JP11,10.26,10.26,12.86,12.86,23.12,0.0,2.18,0.0,0.04,2.22,52.72,0.0,19.44,0.0,72.16,97.5,2.69,0.0,0.0,0.0,2.69,37.16,0.0,0.0,0.0,39.84,0.0,0.0,0.0,0.12,5.59,51.95,57.65,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16,0.0,0.0
4,Mirc Electronic,consumergoodselectronic,MIRCELECTRONIC,ME,http://www.moneycontrol.com/financials/mircelectronics/balance-sheetVI/ME#ME,23.11,23.11,198.8,198.8,221.92,13.18,0.0,0.0,5.55,18.73,61.35,248.06,22.68,4.72,336.81,577.46,95.26,0.29,0.3,0.0,95.84,4.33,0.0,0.0,48.3,148.47,0.0,329.05,78.72,6.14,0.0,15.09,429.0,577.46,199.44,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,9.37,0.0,0.98,0.0,0.0
5,PG Electroplast,consumergoodselectronic,PGELECTROPLAST,PE06,http://www.moneycontrol.com/financials/pgelectroplast/balance-sheetVI/PE06#PE06,19.53,19.53,156.7,156.7,176.23,69.36,1.43,1.25,5.75,77.78,103.91,106.31,35.29,0.61,246.12,500.13,253.21,0.57,5.49,0.0,259.27,0.0,0.0,0.0,10.19,269.46,0.0,84.58,101.19,17.96,0.18,26.76,230.67,500.13,18.6,0.0,0.0,0.0,0.0,64.86,0.0,0.0,0.0,7.11,0.0,0.0,0.0,0.0
6,Videocon Ind,consumergoodselectronic,VIDEOCONIND,VLF,http://www.moneycontrol.com/financials/videoconindustries/balance-sheetVI/VLF#VLF,334.46,334.46,-2972.73,-2972.73,-2638.27,0.0,138.62,4.82,184.43,327.86,28584.44,1122.59,3045.37,38.04,32790.43,30482.45,5574.27,0.52,10.37,0.0,5585.16,9635.75,0.0,10550.61,109.73,25881.24,0.0,271.11,995.76,271.42,2890.24,172.7,4601.21,30482.45,27956.49,6.53,0.0,0.0,0.0,15.71,0.0,8.4,0.0,0.0,6.18,9629.57,0.0,0.0
0,Blue Star,consumergoodswhitegoods,BLUESTAR,BS,http://www.moneycontrol.com/financials/bluestar/balance-sheetVI/BS#BS,19.26,19.26,830.43,830.43,849.69,41.88,0.0,47.1,13.13,102.11,449.04,1438.57,421.15,53.19,2361.95,3313.75,305.17,51.13,56.75,49.81,473.87,220.88,58.48,21.13,158.58,932.94,0.0,849.65,745.83,225.97,13.87,545.49,2380.81,3313.75,641.15,0.0,0.0,0.0,0.0,1160.58,0.0,0.0,181.3,13.3,0.0,220.88,0.0,0.0
1,IFB Industries,consumergoodswhitegoods,IFBINDUSTRIES,IFB02,http://www.moneycontrol.com/financials/ifbindustries/balance-sheetVI/IFB02#IFB02,41.28,41.28,606.02,606.02,647.3,251.67,8.04,60.9,65.35,385.96,26.06,442.48,107.64,4.22,580.4,1613.66,515.61,54.61,7.0,0.11,578.29,33.6,0.0,0.55,85.96,698.4,152.8,373.37,185.14,120.89,0.55,82.51,915.26,1613.66,49.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,33.6,0.0,152.8
2,Johnson Control,consumergoodswhitegoods,JOHNSONCONTROL,HHL,http://www.moneycontrol.com/financials/johnsoncontrols-hitachiairconditioningindia/balance-sheetVI/HHL#HHL,27.19,27.19,661.33,661.33,688.52,0.0,0.0,37.82,59.2,97.02,158.72,549.96,72.55,17.3,798.53,1584.07,379.88,19.74,6.5,1.12,407.24,0.0,14.22,5.11,47.04,473.61,0.0,727.45,254.56,17.93,1.3,109.22,1110.46,1584.07,49.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Symphony,consumergoodswhitegoods,SYMPHONY,SCS04,http://www.moneycontrol.com/financials/symphony/balance-sheetVI/SCS04#SCS04,13.99,13.99,634.86,634.86,648.85,0.0,3.95,0.0,0.0,3.95,0.0,39.09,47.27,6.99,93.35,746.15,68.17,2.63,0.0,0.0,70.8,210.91,0.0,1.24,2.08,285.03,292.34,41.31,59.72,6.57,18.78,42.4,461.12,746.15,248.07,0.0,0.0,0.0,0.0,54.27,0.0,0.0,63.95,7.0,120.87,108.95,80.06,216.42
4,Whirlpool,consumergoodswhitegoods,WHIRLPOOL,WI,http://www.moneycontrol.com/financials/whirlpoolofindia./balance-sheetVI/WI#WI,126.87,126.87,2420.01,2420.01,2546.88,0.0,0.0,21.72,207.38,229.1,0.0,1429.15,100.87,37.67,1567.69,4343.67,703.48,5.43,44.08,0.0,752.99,172.22,37.49,18.12,81.13,1061.95,378.33,1198.89,281.6,1284.01,6.74,132.15,3281.72,4343.67,1585.79,1458.46,0.0,0.0,0.0,103.95,0.0,280.77,0.0,10.8,0.0,0.0,0.0,378.33
0,Blue Dart,couriers,BLUEDART,BDE,http://www.moneycontrol.com/financials/bluedartexpress/balance-sheetVI/BDE#BDE,23.76,23.76,559.74,559.74,583.5,52.5,0.0,210.62,0.0,263.12,0.0,391.09,323.53,0.0,714.62,1561.24,474.49,87.06,2.21,0.0,565.83,144.06,26.91,0.0,153.68,890.48,0.0,3.73,524.53,98.53,0.79,43.18,670.76,1561.24,395.15,0.0,0.0,0.0,0.0,2.36,0.0,0.0,2.62,17.51,0.0,0.0,0.0,0.0
1,Gati,couriers,GATI,G04,http://www.moneycontrol.com/financials/gati/balance-sheetVI/G04#G04,24.39,24.39,775.68,775.68,800.07,46.0,0.0,1.14,0.32,47.46,21.04,45.48,119.49,0.05,186.06,1033.59,245.81,0.0,0.0,0.0,245.81,563.96,0.0,17.95,29.8,857.52,77.82,2.02,21.22,15.82,0.18,59.01,176.07,1033.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3M India,diversified,3MINDIA,MI42,http://www.moneycontrol.com/financials/3mindia/balance-sheetVI/MI42#MI42,11.27,11.27,2063.5,2063.5,2074.76,0.0,0.0,17.49,28.88,46.37,0.0,290.44,181.87,59.8,532.11,2653.24,286.3,0.35,6.64,0.0,293.28,504.8,16.66,12.57,138.29,965.6,0.0,411.04,506.59,665.77,1.36,102.89,1687.65,2653.24,488.3,0.0,0.0,0.0,0.0,1191.51,0.0,82.31,0.0,0.0,0.0,504.8,0.0,0.0
1,Aarvi Encon,diversified,AARVIENCON,AE19,http://www.moneycontrol.com/financials/aarviencon/balance-sheetVI/AE19#AE19,14.78,14.78,50.36,50.36,65.14,0.01,0.3,1.03,0.02,1.36,9.42,4.62,20.82,0.11,34.97,101.48,11.29,0.0,0.0,0.0,11.29,0.67,0.0,0.56,33.01,45.54,0.0,0.0,48.34,1.64,0.3,5.67,55.94,101.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
