,name,catagory,symbol,linkQuate,BS_standalone_link,EQUITY SHARE CAPITAL,TOTAL SHARE CAPITAL,RESERVES AND SURPLUS,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,LONG TERM BORROWINGS,DEFERRED TAX LIABILITIES [NET],OTHER LONG TERM LIABILITIES,LONG TERM PROVISIONS,TOTAL NON-CURRENT LIABILITIES,SHORT TERM BORROWINGS,TRADE PAYABLES,OTHER CURRENT LIABILITIES,SHORT TERM PROVISIONS,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,TANGIBLE ASSETS,INTANGIBLE ASSETS,CAPITAL WORK-IN-PROGRESS,OTHER ASSETS,FIXED ASSETS,NON-CURRENT INVESTMENTS,DEFERRED TAX ASSETS [NET],LONG TERM LOANS AND ADVANCES,OTHER NON-CURRENT ASSETS,TOTAL NON-CURRENT ASSETS,CURRENT INVESTMENTS,INVENTORIES,TRADE RECEIVABLES,CASH AND CASH EQUIVALENTS,SHORT TERM LOANS AND ADVANCES,OTHERCURRENTASSETS,TOTAL CURRENT ASSETS,TOTAL ASSETS,CONTINGENT LIABILITIES,RAW MATERIALS,"STORES, SPARES AND LOOSE TOOLS",TRADE/OTHER GOODS,CAPITAL GOODS,EXPENDITURE IN FOREIGN CURRENCY,DIVIDEND REMITTANCE IN FOREIGN CURRENCY,FOB VALUE OF GOODS,OTHER EARNINGS,BONUS EQUITY SHARE CAPITAL,NON-CURRENT INVESTMENTS QUOTED MARKET VALUE,NON-CURRENT INVESTMENTS UNQUOTED BOOK VALUE,CURRENT INVESTMENTS QUOTED MARKET VALUE,CURRENT INVESTMENTS UNQUOTED BOOK VALUE
47,Steel Str Wheel,autoancillaries,STEELSTRWHEEL,SSW02,http://www.moneycontrol.com/financials/steelstripswheels/balance-sheetVI/SSW02#SSW02,15.59,15.59,682.36,682.36,697.95,441.75,153.53,81.75,13.73,690.76,456.6,213.63,117.5,2.66,790.4,2179.11,1304.72,1.8,85.47,0.0,1392.0,0.19,0.0,10.27,10.34,1412.81,0.0,329.31,209.8,91.7,3.03,132.46,766.3,2179.11,84.53,0.0,0.0,0.0,0.0,89.52,0.0,215.31,0.0,0.0,0.0,0.19,0.0,0.0
48,Subros,autoancillaries,SUBROS,S07,http://www.moneycontrol.com/financials/subros/balance-sheetVI/S07#S07,13.05,13.05,739.25,739.25,752.29,22.76,16.38,8.77,11.05,58.96,89.82,385.15,92.72,9.58,577.27,1388.52,613.6,151.84,39.7,0.0,831.39,1.77,0.0,9.4,4.67,847.23,0.0,234.23,189.29,90.91,0.95,25.92,541.29,1388.52,102.79,0.0,347.3,347.3,5.59,44.2,0.0,0.07,0.0,6.0,0.0,1.77,0.0,0.0
49,Sundaram Brake,autoancillaries,SUNDARAMBRAKE,SBL,http://www.moneycontrol.com/financials/sundarambrakelinings/balance-sheetVI/SBL#SBL,3.93,3.93,80.03,80.03,83.97,0.0,9.8,10.64,1.51,21.94,24.01,31.78,17.07,0.21,73.07,178.98,64.44,0.13,2.29,0.37,68.12,0.92,0.0,0.0,6.36,75.4,0.0,37.71,52.6,3.37,0.0,9.9,103.58,178.98,24.17,0.0,0.0,0.0,0.0,36.32,0.0,0.0,124.73,0.0,0.0,0.92,0.0,0.0
50,Sundaram-Clayto,autoancillaries,SUNDARAMCLAYTO,SC,http://www.moneycontrol.com/financials/sundaram-clayton/balance-sheetVI/SC#SC,10.12,10.12,584.32,584.32,594.44,247.75,0.0,46.44,24.43,318.62,256.0,179.85,230.52,22.32,688.69,1601.75,732.19,0.83,13.14,0.0,746.16,230.52,27.7,0.0,46.23,1050.61,1.75,271.32,160.55,52.45,0.0,65.07,551.14,1601.75,1412.63,0.0,0.0,0.0,0.0,351.95,0.0,646.09,0.0,8.99,8178.9,145.71,0.0,0.0
51,Suprajit Eng,autoancillaries,SUPRAJITENG,SE15,http://www.moneycontrol.com/financials/suprajitengineering/balance-sheetVI/SE15#SE15,13.99,13.99,767.66,767.66,781.65,31.14,15.01,7.09,12.95,66.19,155.02,150.02,39.33,6.58,350.95,1198.79,269.55,2.16,13.84,0.0,286.16,317.77,0.0,4.36,5.41,613.71,178.85,143.59,220.2,23.38,1.34,17.73,585.09,1198.79,242.02,0.0,0.0,0.0,0.0,130.35,0.0,0.0,146.96,9.0,0.0,236.26,76.63,0.0
52,Talbros Auto,autoancillaries,TALBROSAUTO,TAC,http://www.moneycontrol.com/financials/talbrosautomotivecomponents/balance-sheetVI/TAC#TAC,12.35,12.35,165.56,165.56,177.9,20.11,2.91,0.98,3.12,27.12,121.11,105.6,27.23,0.87,254.81,459.84,149.23,1.31,0.6,2.92,154.25,32.82,0.0,1.51,6.35,194.94,0.0,107.95,125.18,7.62,5.68,18.47,264.9,459.84,12.35,0.0,0.0,0.0,0.0,60.15,0.0,92.39,0.0,4.74,0.0,32.82,0.0,0.0
53,The Hi-Tech Gea,autoancillaries,THEHITECHGEA,HTG,http://www.moneycontrol.com/financials/thehi-techgears/balance-sheetVI/HTG#HTG,18.77,18.77,247.89,247.89,266.66,159.69,2.81,1.75,3.91,168.16,0.2,68.33,70.98,3.73,143.24,578.07,196.87,1.35,11.59,0.0,209.81,163.14,0.0,4.46,17.25,394.66,0.0,56.2,59.0,44.64,0.75,22.83,183.41,578.07,45.66,0.29,0.0,0.0,12.83,33.51,0.0,133.44,0.0,16.42,0.04,163.1,0.0,0.0
54,UCAL Fuel,autoancillaries,UCALFUEL,UFS,http://www.moneycontrol.com/financials/ucalfuelsystems/balance-sheetVI/UFS#UFS,22.11,22.11,291.62,291.62,313.73,46.46,0.0,0.64,6.72,53.82,83.41,148.98,54.32,1.07,287.78,655.33,374.56,0.0,0.0,0.0,374.56,111.09,8.58,2.71,42.72,539.66,0.0,50.25,52.27,2.01,2.54,8.59,115.67,655.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WABCO India,autoancillaries,WABCOINDIA,WAB,http://www.moneycontrol.com/financials/wabcoindia/balance-sheetVI/WAB#WAB,9.48,9.48,1885.06,1885.06,1894.55,0.0,0.0,8.75,14.12,22.87,0.0,156.53,94.32,12.44,263.29,2180.7,446.83,4.06,29.96,0.0,500.94,0.0,0.8,7.23,109.18,618.15,542.37,112.57,363.54,461.19,0.19,82.7,1562.55,2180.7,241.47,0.0,0.0,0.0,0.0,376.79,0.0,0.0,869.95,0.0,0.0,0.0,542.37,0.0
56,Wheels,autoancillaries,WHEELS,WI11,http://www.moneycontrol.com/financials/wheelsindia/balance-sheetVI/WI11#WI11,24.06,24.06,573.41,573.41,597.47,236.31,48.31,7.02,4.22,295.86,222.69,441.03,179.37,25.14,868.23,1761.56,643.29,4.57,133.71,0.0,781.57,16.7,0.0,20.67,11.07,830.01,0.0,388.12,458.38,4.49,0.0,80.56,931.55,1761.56,70.25,0.0,0.0,0.0,0.0,290.69,0.0,0.0,487.75,20.13,0.0,16.7,0.0,0.0
